High-school Track,R,I,A,S,E,C,Skills,Courses and Certificates,Work Style,Passion and Goals,Faculty,Typical Degree,Program/Major,Primary Campus
Arts and Humanities,False,False,True,True,False,False,"AutoCAD, 3D Modeling, Color Theory, Microsoft Office","Lighting Design, Presentation Techniques, First Aid",Creative/Design,"functionality, to research",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,True,True,False,"Drawing, Color Theory, 3D Modeling, Time Management, English","Interior Materials, TOEFL",Creative/Design,"aesthetics, to innovate",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,True,False,True,False,False,False,"Drawing, Space Planning, AutoCAD, Design, Time Management","Furniture Design, Lighting Design, Summer Program",Creative/Design,"functionality, career",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"AutoCAD, Space Planning, Color Theory, Design, Arabic, Research","Lighting Design, History of Design, cultural Workshop",Creative/Design,"creative environments, to research",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Creative Thinking, Art History, Microsoft Office","Art Theory, Figure Drawing, TOEFL",Creative/Design,"visual arts, to understand",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,True,False,True,False,False,False,"Drawing, Art History, Painting, Creative Thinking, French, Microsoft Office","Art Theory, Figure Drawing, ICDL",Creative/Design,"creativity, to innovate",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Sculpting, Drawing, Creative Thinking, Painting, Research","Portfolio Development, First Aid",Creative/Design,"creativity, career",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Painting, Visual Communication, Sculpting, Communication, Time Management","Sculpture Workshop, ICDL",Creative/Design,"self-expression, to innovate",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,True,True,False,False,False,"Sculpting, Drawing, Art History, Painting, Arabic","Painting Techniques, ICDL",Creative/Design,"visual arts, to innovate",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,False,False,False,False,"Sculpting, Painting, Drawing, Visual Communication, Arabic, Microsoft Office","Painting Techniques, Sculpture Workshop, no Workshop",Creative/Design,"painting, to research",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,True,True,False,False,False,"Art History, Creative Thinking, English, French","Painting Techniques, IELTS",Creative/Design,"sculpture, to lead",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Creative Thinking, Painting, English","Art Theory, ICDL",Creative/Design,"self-expression, to lead",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Painting, Visual Communication, Drawing, Creative Thinking, Arabic, French","Art Theory, Portfolio Development, TOEFL",Creative/Design,"exhibitions, to lead",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,True,True,False,False,False,"Sculpting, Visual Communication, Time Management, Communication","Painting Techniques, Figure Drawing, TOEFL",Creative/Design,"visual arts, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Drawing, Visual Communication, Creative Thinking, Sculpting, Research, French","Figure Drawing, Painting Techniques, TOEFL",Creative/Design,"painting, to research",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Painting, Sculpting, Drawing, Communication, English","Painting Techniques, IELTS",Creative/Design,"painting, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,False,False,False,True,"Drawing, Sculpting, French","Art Theory, Portfolio Development, ICDL",Creative/Design,"sculpture, to research",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Drawing, Visual Communication, English, Time Management","Figure Drawing, Summer Program",Creative/Design,"painting, to help people",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Drawing, Sculpting, Microsoft Office","Figure Drawing, Summer Program",Creative/Design,"creativity, to innovate",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Visual Communication, Painting, Sculpting, Drawing, French, Arabic","Painting Techniques, TOEFL",Creative/Design,"exhibitions, career",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Drawing, Painting, Creative Thinking, Time Management, French","Figure Drawing, Sculpture Workshop, TOEFL",Creative/Design,"creativity, to lead",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,True,False,True,False,False,False,"Painting, Creative Thinking, Research, French","Portfolio Development, ICDL",Creative/Design,"painting, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Fine Arts,Multiple branches
Arts and Humanities,False,False,True,True,True,False,"Video Editing, Social Media, Writing, Time Management, English","Media Ethics, News Writing, able Workshop",People-centric/Teaching,"media, to lead",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Communication, Writing, Time Management","News Writing, Multimedia Journalism, TOEFL",People-centric/Teaching,"investigation, to create",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,True,True,True,True,False,"Social Media, Video Editing, Research, English","News Writing, First Aid","People-centric/Teaching, Creative/Design","media, to innovate",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,False,True,True,False,"Research, Social Media, Time Management, French","Multimedia Journalism, Digital Storytelling, Summer Program",People-centric/Teaching,"storytelling, to innovate",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Research, Writing, Communication, English, Time Management","Multimedia Journalism, Summer Program",People-centric/Teaching,"news, to build",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,False,True,False,"Video Editing, Research, Microsoft Office, Arabic","Multimedia Journalism, News Writing, First Aid",People-centric/Teaching,"current events, career",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Communication, Research, Interviewing, Writing, Communication, English","Digital Storytelling, establish Workshop",People-centric/Teaching,"media, to build",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Social Media, Research, Communication, Time Management","Media Ethics, ICDL",People-centric/Teaching,"storytelling, to research",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Social Media, Video Editing, Interviewing, Research","Digital Storytelling, ICDL",People-centric/Teaching,"communication, to understand",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,False,False,"Writing, Research, Video Editing, Interviewing, French","Digital Storytelling, First Aid",People-centric/Teaching,"media, to help people",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Communication, Research, Interviewing, Video Editing, Research","News Writing, Multimedia Journalism, Summer Program",People-centric/Teaching,"current events, to lead",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Interviewing, Video Editing, Communication, French","News Writing, IELTS",People-centric/Teaching,"news, career",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Video Editing, Communication, Social Media, Writing, Time Management, Arabic","Digital Storytelling, Photojournalism, First Aid",People-centric/Teaching,"communication, to build",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Research, Interviewing, Communication, Social Media, Communication","Media Ethics, Digital Storytelling, situation Workshop",People-centric/Teaching,"storytelling, to build",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,False,True,False,"Video Editing, Interviewing, Writing, Social Media, Time Management, Microsoft Office","Photojournalism, Multimedia Journalism, First Aid",People-centric/Teaching,"storytelling, to research",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Video Editing, Social Media, Interviewing, Research, Research, French","Multimedia Journalism, News Writing, First Aid",People-centric/Teaching,"media, career",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,False,True,True,True,False,"Social Media, Research, Writing, Interviewing, English, Communication","Multimedia Journalism, News Writing, IELTS",People-centric/Teaching,"media, to build",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,True,True,True,True,True,"Social Media, Video Editing, English","Media Ethics, Multimedia Journalism, ICDL",People-centric/Teaching,"investigation, to help people",Faculty of Information,"BS, MS",Journalism & Digital Media,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Social Media, Communication, Time Management","Copywriting, practice Workshop","Creative/Design, Business","brands, to build",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Strategy, Graphic Design, Communication, Arabic, French","Marketing Principles, Brand Management, TOEFL","Creative/Design, Business","brands, to understand",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Communication, Creativity, French, Microsoft Office","Copywriting, common Workshop","Creative/Design, Business","advertising, to innovate",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Strategy, Communication, Social Media, Research, Time Management","Brand Management, IELTS","Creative/Design, Business","marketing campaigns, to create",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,False,True,True,False,"Social Media, Creativity, Communication, Marketing, Time Management","Marketing Principles, Summer Program",Creative/Design,"brands, to build",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Graphic Design, Creativity, Social Media, Strategy, Microsoft Office, Arabic","Copywriting, TOEFL",Creative/Design,"social media, career",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Social Media, Creativity, Communication, Communication","Digital Marketing, Consumer Behavior, IELTS",Creative/Design,"advertising, to help people",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,True,False,True,False,True,False,"Creativity, Marketing, Communication, Research","Brand Management, TOEFL","Creative/Design, Business","advertising, career",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Strategy, Marketing, English, Research","Copywriting, IELTS",Creative/Design,"brands, to lead",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,False,False,"Social Media, Graphic Design, Creativity, English","Copywriting, Digital Marketing, TOEFL",Creative/Design,"consumer trends, to understand",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Social Media, Creativity, Communication, French, English","Consumer Behavior, Brand Management, ICDL","Creative/Design, Business","consumer trends, to research",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,True,"Graphic Design, Marketing, Social Media, French, English","Digital Marketing, Summer Program",Creative/Design,"consumer trends, to research",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Creativity, Marketing, Communication, Time Management","Marketing Principles, Copywriting, service Workshop",Creative/Design,"marketing campaigns, to help people",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,True,"Strategy, Social Media, Communication, Time Management, Arabic","Digital Marketing, ICDL",Creative/Design,"creativity, to research",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,True,True,False,True,False,"Strategy, Social Media, Marketing, Communication, English","Copywriting, Consumer Behavior, Summer Program",Creative/Design,"advertising, to innovate",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,True,True,False,True,False,"Creativity, Strategy, Social Media, French, Microsoft Office","Digital Marketing, Consumer Behavior, oil Workshop",Creative/Design,"advertising, to create",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,False,True,False,True,False,"Creativity, Marketing, Social Media, Graphic Design, Arabic","Copywriting, IELTS",Creative/Design,"brands, to lead",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Sociology and Economics,False,True,False,False,True,False,"Creativity, Graphic Design, Communication, Time Management, Arabic","Digital Marketing, ICDL","Creative/Design, Business","creativity, to help people",Faculty of Information,"BS, MS",Advertising & Marketing Communication,Branches 1–2 (Beirut) and 3 (North)
Arts and Humanities,False,True,True,True,False,False,"Critical Thinking, Writing, Linguistics, Communication, Microsoft Office, Research","British Literature, TOEFL",People-centric/Teaching,"analysis, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,True,"Linguistics, Writing, Analysis, Critical Thinking, Communication, Microsoft Office","Literary Theory, IELTS","People-centric/Teaching, Office/Data","literature, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,True,True,True,True,False,False,"Research, Writing, Analysis, Critical Thinking, English, French","Literary Theory, Summer Program",People-centric/Teaching,"analysis, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,True,False,"Research, Critical Thinking, Analysis, French, Microsoft Office","British Literature, IELTS",People-centric/Teaching,"analysis, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,False,False,True,"Linguistics, Analysis, Communication, Research, Microsoft Office, French","Grammar, First Aid",People-centric/Teaching,"teaching, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Writing, Analysis, Critical Thinking, French, Communication","American Literature, First Aid","People-centric/Teaching, Office/Data","literature, to understand",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Critical Thinking, Analysis, English","British Literature, Creative Writing, Summer Program","People-centric/Teaching, Office/Data","teaching, to lead",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Critical Thinking, Communication, Analysis, Linguistics, Time Management","American Literature, Summer Program",People-centric/Teaching,"writing, to create",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Communication, Critical Thinking, Analysis, Research, English, Time Management","Grammar, British Literature, TOEFL","People-centric/Teaching, Office/Data","writing, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,False,True,True,False,False,"Writing, Research, Linguistics, Communication, French, Arabic","British Literature, Literary Theory, TOEFL",People-centric/Teaching,"literature, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,False,True,False,False,"Analysis, Communication, Linguistics, Arabic, Time Management","American Literature, British Literature, First Aid","People-centric/Teaching, Office/Data","culture, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,True,False,"Critical Thinking, Analysis, Microsoft Office","British Literature, TOEFL",People-centric/Teaching,"literature, to help people",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,False,False,False,"Analysis, Communication, Research, Communication","American Literature, Literary Theory, First Aid",People-centric/Teaching,"language, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Communication, Linguistics, Writing, Critical Thinking, French, Communication","Creative Writing, Grammar, First Aid",People-centric/Teaching,"literature, to create",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Analysis, Research, Arabic","Literary Theory, Summer Program",People-centric/Teaching,"literature, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,False,True,True,False,"Writing, Critical Thinking, Research, Communication, English","British Literature, Grammar, ICDL","People-centric/Teaching, Office/Data","teaching, to lead",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Analysis, Research, Critical Thinking, Writing, Research, French","American Literature, Literary Theory, ICDL",People-centric/Teaching,"writing, to lead",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Linguistics, Research, English","Grammar, TOEFL",People-centric/Teaching,"literature, to create",Faculty of Letters & Human Sciences,"BA, MA, PhD",English Language & Literature,5 branches across provinces
Arts and Humanities,False,False,True,True,False,False,"Analysis, Communication, Research, Time Management","French Literature, TOEFL",People-centric/Teaching,"language, to innovate",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,False,True,False,False,False,"Communication, Analysis, Linguistics, Research, English","French Literature, First Aid",People-centric/Teaching,"communication, to help people",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,True,False,"Analysis, Writing, Microsoft Office","Linguistics, First Aid",People-centric/Teaching,"french culture, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Analysis, Linguistics, Communication, Arabic","Linguistics, Francophone Cultures, First Aid",People-centric/Teaching,"communication, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Linguistics, Analysis, Writing, Time Management, Communication","French Literature, Linguistics, TOEFL",People-centric/Teaching,"literature, to create",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Translation, French, French, Time Management","Translation Studies, police Workshop",People-centric/Teaching,"teaching, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,True,False,"Linguistics, Writing, English","Grammar, IELTS",People-centric/Teaching,"french culture, to help people",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Translation, Writing, English, Research","Francophone Cultures, Translation Studies, capital Workshop",People-centric/Teaching,"communication, to understand",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Communication, Linguistics, Translation, English","Francophone Cultures, IELTS","People-centric/Teaching, Office/Data","teaching, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Analysis, Translation, Communication, French, Arabic","French Literature, eat Workshop","People-centric/Teaching, Office/Data","literature, to create",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,False,False,False,False,"Translation, Linguistics, French, Writing, Microsoft Office, French","French Literature, Francophone Cultures, talk Workshop",People-centric/Teaching,"communication, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Translation, Analysis, Research, Time Management","Francophone Cultures, Grammar, ICDL","People-centric/Teaching, Office/Data","literature, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,True,False,"Translation, Writing, French","Linguistics, Francophone Cultures, thought Workshop",People-centric/Teaching,"language, to create",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,False,"Analysis, French, Linguistics, Research","Linguistics, Francophone Cultures, First Aid",People-centric/Teaching,"literature, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,True,True,True,False,True,"Communication, Analysis, English, Time Management","Linguistics, Grammar, TOEFL","People-centric/Teaching, Office/Data","language, to innovate",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,False,True,True,False,False,"Analysis, Communication, Translation, French, Communication","Grammar, French Literature, Summer Program",People-centric/Teaching,"language, to innovate",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,False,False,True,True,False,False,"Translation, Writing, Communication, French","Grammar, Translation Studies, IELTS",People-centric/Teaching,"teaching, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Arts and Humanities,True,True,True,True,False,False,"Analysis, Communication, Linguistics, Writing, Time Management","Linguistics, French Literature, responsibility Workshop","People-centric/Teaching, Office/Data","language, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",French Language & Literature,5 branches across provinces
Life Science,False,True,False,True,False,False,"Listening, Statistics, Communication, Research","Abnormal Psychology, Introduction to Psychology, First Aid","Lab/Research, People-centric/Teaching","the mind, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,False,False,True,True,False,"Communication, Research, Research","Research Methods, TOEFL",Lab/Research,"research, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,True,False,True,"Analysis, Research, Communication, Listening, Research, Time Management","Introduction to Psychology, Research Methods, First Aid","Lab/Research, People-centric/Teaching","human behavior, to innovate",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,True,False,False,"Research, Statistics, Arabic, Microsoft Office","Abnormal Psychology, Statistics, Summer Program","Lab/Research, People-centric/Teaching","counseling, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,True,False,False,"Analysis, Communication, Research","Statistics, Research Methods, give Workshop",Lab/Research,"mental health, to lead",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,True,False,False,"Statistics, Analysis, Communication, Research, English","Introduction to Psychology, Statistics, First Aid",Lab/Research,"research, to help people",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,True,False,False,"Communication, Research, Statistics, Analysis, Communication","Statistics, Introduction to Psychology, TOEFL","Lab/Research, People-centric/Teaching","helping people, to help people",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,False,False,False,"Analysis, Communication, Research, Empathy, Communication, Arabic","Research Methods, Abnormal Psychology, IELTS","Lab/Research, People-centric/Teaching","helping people, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,False,False,True,False,False,"Empathy, Listening, Analysis, Communication, Research","Statistics, IELTS","Lab/Research, People-centric/Teaching","human behavior, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,False,False,False,"Statistics, Analysis, Arabic","Statistics, Research Methods, Summer Program",Lab/Research,"counseling, to understand",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,True,True,False,True,False,True,"Empathy, Communication, Analysis, Communication, French","Introduction to Psychology, IELTS",Lab/Research,"the mind, to help people",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,False,False,False,"Research, Statistics, Communication, Research","Developmental Psychology, Research Methods, ICDL","Lab/Research, People-centric/Teaching","the mind, to research",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,True,True,False,True,False,False,"Empathy, Communication, Statistics, Research, Communication, English","Statistics, ICDL",Lab/Research,"the mind, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,True,False,False,"Analysis, Listening, Communication, Research","Statistics, Developmental Psychology, IELTS","Lab/Research, People-centric/Teaching","mental health, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,False,True,True,False,True,"Listening, Communication, Analysis, Statistics, Microsoft Office","Statistics, Research Methods, issue Workshop",Lab/Research,"the mind, to build",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,True,False,False,"Research, Analysis, Listening, Statistics, English","Introduction to Psychology, First Aid",Lab/Research,"counseling, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,True,False,False,"Statistics, Listening, Analysis, Communication, Arabic, French","Statistics, First Aid","Lab/Research, People-centric/Teaching","counseling, to help people",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Life Science,False,True,False,True,False,False,"Analysis, Research, Statistics, Communication, Microsoft Office","Abnormal Psychology, Developmental Psychology, First Aid",Lab/Research,"research, to help people",Faculty of Letters & Human Sciences,"BA, MA, PhD",Psychology,5 branches across provinces
Arts and Humanities,False,True,False,False,False,True,"Communication, Writing, Critical Thinking, Research, Communication, French","Historiography, ICDL",Lab/Research,"past, career",Faculty of Letters & Human Sciences,"BA, MA, PhD",History,5 branches across provinces
Arts and Humanities,False,True,False,True,True,True,"Analysis, Critical Thinking, Research, Writing, French, English","Lebanese History, Historiography, Summer Program",Lab/Research,"culture, to understand",Faculty of Letters & Human Sciences,"BA, MA, PhD",History,5 branches across provinces
